event,dist,stroke,sex,course,time
50 m Freestyle,50,Freestyle,M,Long,21.4
50 m Freestyle,50,Freestyle,M,Long,21.41
50 m Freestyle,50,Freestyle,M,Long,21.49
50 m Freestyle,50,Freestyle,M,Long,21.68
50 m Freestyle,50,Freestyle,M,Long,21.74
50 m Freestyle,50,Freestyle,M,Long,21.79
50 m Freestyle,50,Freestyle,M,Long,21.79
50 m Freestyle,50,Freestyle,M,Long,22.08
100 m Freestyle,100,Freestyle,M,Long,47.58
100 m Freestyle,100,Freestyle,M,Long,47.8
100 m Freestyle,100,Freestyle,M,Long,47.85
100 m Freestyle,100,Freestyle,M,Long,47.88
100 m Freestyle,100,Freestyle,M,Long,48.01
100 m Freestyle,100,Freestyle,M,Long,48.02
100 m Freestyle,100,Freestyle,M,Long,48.12
100 m Freestyle,100,Freestyle,M,Long,48.41
200 m Freestyle,200,Freestyle,M,Long,104.65
200 m Freestyle,200,Freestyle,M,Long,105.2
200 m Freestyle,200,Freestyle,M,Long,105.23
200 m Freestyle,200,Freestyle,M,Long,105.49
200 m Freestyle,200,Freestyle,M,Long,105.58
200 m Freestyle,200,Freestyle,M,Long,105.84
200 m Freestyle,200,Freestyle,M,Long,105.9
200 m Freestyle,200,Freestyle,M,Long,105.91
400 m Freestyle,400,Freestyle,M,Long,221.55
400 m Freestyle,400,Freestyle,M,Long,221.68
400 m Freestyle,400,Freestyle,M,Long,223.49
400 m Freestyle,400,Freestyle,M,Long,224.01
400 m Freestyle,400,Freestyle,M,Long,224.16
400 m Freestyle,400,Freestyle,M,Long,224.68
400 m Freestyle,400,Freestyle,M,Long,225.28
400 m Freestyle,400,Freestyle,M,Long,229.07
100 m Backstroke,100,Backstroke,M,Long,51.97
100 m Backstroke,100,Backstroke,M,Long,52.31
100 m Backstroke,100,Backstroke,M,Long,52.4
100 m Backstroke,100,Backstroke,M,Long,52.43
100 m Backstroke,100,Backstroke,M,Long,52.7
100 m Backstroke,100,Backstroke,M,Long,52.74
100 m Backstroke,100,Backstroke,M,Long,53.42
100 m Backstroke,100,Backstroke,M,Long,53.5
200 m Backstroke,200,Backstroke,M,Long,113.62
200 m Backstroke,200,Backstroke,M,Long,113.96
200 m Backstroke,200,Backstroke,M,Long,113.97
200 m Backstroke,200,Backstroke,M,Long,115.16
200 m Backstroke,200,Backstroke,M,Long,115.52
200 m Backstroke,200,Backstroke,M,Long,115.89
200 m Backstroke,200,Backstroke,M,Long,116.27
200 m Backstroke,200,Backstroke,M,Long,116.36
100 m Breaststroke,100,Breaststroke,M,Long,57.13
100 m Breaststroke,100,Breaststroke,M,Long,58.69
100 m Breaststroke,100,Breaststroke,M,Long,58.87
100 m Breaststroke,100,Breaststroke,M,Long,59.22
100 m Breaststroke,100,Breaststroke,M,Long,59.31
100 m Breaststroke,100,Breaststroke,M,Long,59.37
100 m Breaststroke,100,Breaststroke,M,Long,59.38
100 m Breaststroke,100,Breaststroke,M,Long,59.85
200 m Breaststroke,200,Breaststroke,M,Long,127.46
200 m Breaststroke,200,Breaststroke,M,Long,127.53
